Key,Stop Name,Latitude,Longitude
229,Bundgarden,18.5413917,73.88402
230,Yerawada,18.5452486,73.8855007
231,Neeta Park,18.5457917,73.8880333
232,White House,18.5480385,73.8889236
233,Netaji Highschool,18.5520401,73.8894877
234,Vikrikar Karyalay,18.5542081,73.8899756
235,Yerawada Post Office,18.5592886,73.8914391
236,Nagpur Chawl,18.5640335,73.8934555
237,Gaurdroom,18.5650733,73.89422
238,509,18.5750617,73.8993567
239,Panyachi Taki Lohgaon,18.5935402,73.9226035
240,Hinjawadi - Maan Phase 3,18.5767955,73.6882155
241,Mahindra Tech,18.5811032,73.6875979
242,DLF,18.5851149,73.696348
243,Tata Motors,18.5868167,73.6998785
244,Dholer,18.5884633,73.7039867
245,Power House Hinjawadi,18.5890705,73.7050865
246,Infosys Phase 2,18.5935158,73.7076785
247,Emcure,18.5960158,73.7127654
248,Wipro Company Circle,18.5968872,73.7180753
249,Bank Of Maharashtra Hinjawadi,18.5945118,73.728055
250,Geometric,18.5933168,73.7325357
251,Cognizant Company,18.5914239,73.7329883
252,Infosys Phase 1,18.5865291,73.7338068
253,Hinjawadi Police Station,18.5863802,73.7357329
254,Hinjawadigaon,18.5910409,73.741741
255,Shivratna Mangal Karyalaya,18.5908791,73.7478103
256,Jakat Naka Hinjawadi,18.5909434,73.7498769
257,Sawtamali Mandir,18.5918267,73.75386
258,Wakad Bridge,18.5921833,73.7568183
259,Digambar Marble,18.5829492,73.7608154
260,Balewadi Stadium,18.5748342,73.7637605
261,Radha Hotel,18.5681761,73.766497
262,Yashoda Niwas,18.5640776,73.7678157
263,Girme Park,18.5483954,73.7734429
264,Abhinav College,18.5452383,73.7786868
265,Sai Chowk Pashan Sus Road,18.5441038,73.7827915
266,Shubhtej Mangal Karyalay,18.5435418,73.7857154
267,Dattamandir Pashan Road,18.5429721,73.7891562
268,Pandavnagar Pashan,18.5413299,73.792606
269,Kokate Aali,18.5394753,73.7939386
270,Pashan,18.53752,73.7954817
271,MES Pumping Station,18.5365617,73.7956683
272,ARDE Colony,18.5335267,73.7937633
273,Pashan Tank Rasta,18.5266544,73.7867397
274,Bharat Ele Company,18.5261182,73.7819958
275,Bavdhan Phata,18.519627,73.7788372
276,Bavdhangaon,18.5153852,73.782143
277,Shindenagar Bawdhan,18.5122208,73.782226
278,Chandani Chowk,18.5075849,73.7849134
279,Shinde Farm,18.5084666,73.789879
280,Kothrud Depot,18.5080679,73.7957876
281,Bharatinagar,18.5078698,73.7970488
282,Kachara Depot Kothrud,18.5075673,73.7997528
283,Vanaj Company,18.5071425,73.8039203
284,Vanaj Corner,18.5074743,73.8073609
285,Pratiknagar,18.5083455,73.8097971
286,Jai Bhavaninagar,18.5095593,73.8126132
287,Anandnagar Kothrud,18.5098194,73.8148199
288,Ideal Colony,18.5109008,73.8186615
